kota,tahun
KABUPATEN BOGOR,"{2015: 1511.15, 2016: 1511.15, 2017: 1511.15, 2018: 1716.8, 2019: 2914.65, 2020: 2977.0, 2021: 971.59, 2022: nan, 2023: nan}"
KABUPATEN SUKABUMI,"{2015: 419.01, 2016: 419.01, 2017: 419.01, 2018: 415.5, 2019: 1003.64, 2020: 1006.0, 2021: 356.02, 2022: nan, 2023: nan}"
KABUPATEN CIANJUR,"{2015: 981.41, 2016: 981.41, 2017: 981.41, 2018: 965.19, 2019: 1115.81, 2020: 1117.0, 2021: 355.69, 2022: nan, 2023: nan}"
KABUPATEN BANDUNG,"{2015: 1895.94, 2016: 1895.94, 2017: 1895.94, 2018: 2068.06, 2019: 1334.12, 2020: 1355.0, 2021: 1489.04, 2022: nan, 2023: nan}"
KABUPATEN GARUT,"{2015: 464.74, 2016: 464.74, 2017: 464.74, 2018: 473.89, 2019: 1144.01, 2020: 1151.0, 2021: 321.17, 2022: nan, 2023: nan}"
KABUPATEN TASIKMALAYA,"{2015: 464.52, 2016: 464.52, 2017: 464.52, 2018: 458.45, 2019: 753.06, 2020: 754.0, 2021: 172.26, 2022: nan, 2023: nan}"
KABUPATEN CIAMIS,"{2015: 260.91, 2016: 260.91, 2017: 260.91, 2018: 263.01, 2019: 560.57, 2020: 564.0, 2021: 159.41, 2022: nan, 2023: nan}"
KABUPATEN KUNINGAN,"{2015: 251.7, 2016: 251.7, 2017: 251.7, 2018: 248.52, 2019: 537.25, 2020: 540.0, 2021: 405.76, 2022: nan, 2023: nan}"
KABUPATEN CIREBON,"{2015: 465.75, 2016: 465.75, 2017: 465.75, 2018: 466.25, 2019: 3.15, 2020: 1096.0, 2021: 242.52, 2022: nan, 2023: nan}"
KABUPATEN MAJALENGKA,"{2015: 254.63, 2016: 254.63, 2017: 254.63, 2018: 249.26, 2019: 515.7, 2020: 518.0, 2021: 546.54, 2022: nan, 2023: nan}"
KABUPATEN SUMEDANG,"{2015: 237.96, 2016: 237.96, 2017: 237.96, 2018: 236.12, 2019: 436.96, 2020: 438.0, 2021: 707.75, 2022: nan, 2023: nan}"
KABUPATEN INDRAMAYU,"{2015: 613.18, 2016: 613.18, 2017: 613.18, 2018: 603.11, 2019: 1071.05, 2020: 1077.0, 2021: 792.48, 2022: nan, 2023: nan}"
KABUPATEN SUBANG,"{2015: 487.26, 2016: 487.26, 2017: 487.26, 2018: 498.7, 2019: 1012.45, 2020: 1023.0, 2021: 739.6, 2022: nan, 2023: nan}"
KABUPATEN PURWAKARTA,"{2015: 308.96, 2016: 308.96, 2017: 308.96, 2018: 323.87, 2019: 384.43, 2020: 388.0, 2021: 239.72, 2022: nan, 2023: nan}"
KABUPATEN KARAWANG,"{2015: 869.86, 2016: 869.86, 2017: 869.86, 2018: 896.85, 2019: 934.4, 2020: 942.0, 2021: 614.61, 2022: nan, 2023: nan}"
KABUPATEN BEKASI,"{2015: 1228.6, 2016: 1228.6, 2017: 1228.6, 2018: 1600.71, 2019: 2590.0, 2020: 2258.0, 2021: 1193.76, 2022: nan, 2023: nan}"
KABUPATEN BANDUNG BARAT,"{2015: 616.08, 2016: 616.08, 2017: 616.08, 2018: 663.54, 2019: 1124.5, 2020: 1135.0, 2021: 201.09, 2022: nan, 2023: nan}"
KABUPATEN PANGANDARAN,"{2015: 185.83, 2016: 185.83, 2017: 185.83, 2018: 171.21, 2019: 250.23, 2020: 252.0, 2021: 46.62, 2022: nan, 2023: nan}"
KOTA BOGOR,"{2015: 991.93, 2016: 991.93, 2017: 991.93, 2018: 1069.41, 2019: 620.55, 2020: 567.0, 2021: 719.72, 2022: nan, 2023: nan}"
KOTA SUKABUMI,"{2015: 309.91, 2016: 309.91, 2017: 309.91, 2018: 318.12, 2019: 172.82, 2020: 181.0, 2021: 232.06, 2022: nan, 2023: nan}"
KOTA BANDUNG,"{2015: 2448.63, 2016: 2448.63, 2017: 2448.63, 2018: 2441.12, 2019: 1575.73, 2020: 1630.0, 2021: 1529.04, 2022: nan, 2023: nan}"
KOTA CIREBON,"{2015: 304.15, 2016: 304.15, 2017: 304.15, 2018: 308.37, 2019: 245.0, 2020: 192.0, 2021: 229.75, 2022: nan, 2023: nan}"
KOTA BEKASI,"{2015: 2387.08, 2016: 2387.08, 2017: 2387.08, 2018: 2858.6, 2019: 2060.7, 2020: 1923.0, 2021: 1500.77, 2022: nan, 2023: nan}"
KOTA DEPOK,"{2015: 1844.3, 2016: 1844.3, 2017: 1844.3, 2018: 2272.07, 2019: 1469.77, 2020: 1516.0, 2021: 1418.87, 2022: nan, 2023: nan}"
KOTA CIMAHI,"{2015: 563.21, 2016: 563.21, 2017: 563.21, 2018: 592.62, 2019: 267.74, 2020: 369.0, 2021: 193.36, 2022: nan, 2023: nan}"
KOTA TASIKMALAYA,"{2015: 472.36, 2016: 472.36, 2017: 472.36, 2018: 465.23, 2019: 291.6, 2020: 285.0, 2021: 295.87, 2022: nan, 2023: nan}"
KOTA BANJAR,"{2015: 130.21, 2016: 130.21, 2017: 130.21, 2018: 128.34, 2019: 100.67, 2020: 79.0, 2021: 60.29, 2022: nan, 2023: nan}"
